Hero Name,Role,Pick Rate (%),Win Rate (%),Rank,
Captain America,Vanguard,2.18,53.01,Diamond,
Mantis,Strategist,2.06,53.07,Diamond,
Ultron,Strategist,1.51,52.69,Diamond,
Storm,Duelist,1.49,55.62,Diamond,
Adam Warlock,Strategist,1.39,46.15,Diamond,
Blade,Duelist,1.11,47.75,Diamond,
Deadpool,Duelist,1.07,43.14,Diamond,
Black Widow,Duelist,1.05,35.9,Diamond,
Human Torch,Duelist,0.55,50.48,Diamond,
Cloak & Dagger,Strategist,25,49.16,Grandmaster,
Invisible Woman,Strategist,23.71,49.31,Grandmaster,
Magneto,Vanguard,19.31,49.69,Grandmaster,
Doctor Strange,Vanguard,18.91,49.15,Grandmaster,
Emma Frost,Vanguard,11.76,46.92,Grandmaster,
Rocket Raccoon,Strategist,11.25,53.71,Grandmaster,
Luna Snow,Strategist,11.06,45.58,Grandmaster,
Winter Soldier,Duelist,10.63,44.64,Grandmaster,
Moon Knight,Duelist,10.08,50.74,Grandmaster,
Thor,Vanguard,9.15,52.9,Grandmaster,
Namor,Duelist,8.26,48.42,Grandmaster,
Groot,Vanguard,8.2,52.14,Grandmaster,
The Punisher,Duelist,7.76,45.69,Grandmaster,
Spider- Man,Duelist,7.4,52.28,Grandmaster,
Jeff the Land Shark,Strategist,7.07,50.66,Grandmaster,
Phoenix,Duelist,6.9,49.69,Grandmaster,
Hela,Duelist,6.79,51.5,Grandmaster,
Gambit,Strategist,6.6,51.32,Grandmaster,
Loki,Strategist,6.57,55.13,Grandmaster,
The Thing,Vanguard,5.99,48.36,Grandmaster,
Magik,Duelist,5.75,57.22,Grandmaster,
Hulk,Vanguard,5.57,55.72,Grandmaster,
Angela,Vanguard,4.46,54.79,Grandmaster,
Star-Lord,Duelist,4.25,50.38,Grandmaster,
Deadpool,Vanguard,4.22,51.68,Grandmaster,
Psylocke,Duelist,4.15,49.49,Grandmaster,
Venom,Vanguard,3.93,50.38,Grandmaster,
Iron Fist,Duelist,3.62,51.52,Grandmaster,
Hawkeye,Duelist,3.6,52.62,Grandmaster,
Daredevil,Duelist,3.38,56.21,Grandmaster,
Deadpool,Strategist,3.31,42.01,Grandmaster,
Rogue,Vanguard,3.3,54.52,Grandmaster,
Wolverine,Duelist,3.08,48.63,Grandmaster,
Peni Parker,Vanguard,2.77,56.99,Grandmaster,
Mantis,Strategist,2.67,53.7,Grandmaster,
Black Panther,Duelist,2.49,50.61,Grandmaster,
Captain America,Vanguard,2.41,51.11,Grandmaster,
Squirrel Girl,Duelist,2.04,43.81,Grandmaster,
Iron Man,Duelist,1.67,48.06,Grandmaster,
Mister Fantastic,Duelist,1.66,50,Grandmaster,
Scarlet Witch,Duelist,1.5,46.26,Grandmaster,
Adam Warlock,Strategist,1.5,47.97,Grandmaster,
Storm,Duelist,1.38,53.71,Grandmaster,
Ultron,Strategist,1.26,49.37,Grandmaster,
Black Widow,Duelist,1.14,39.49,Grandmaster,
Deadpool,Duelist,1.01,47.16,Grandmaster,
Blade,Duelist,0.78,48.52,Grandmaster,
Human Torch,Duelist,0.69,49.02,Grandmaster,
Invisible Woman,Strategist,26.59,49.89,Celestial and Above,
Magneto,Vanguard,23.66,50.63,Celestial and Above,
Cloak & Dagger,Strategist,19.78,48.75,Celestial and Above,
Rocket Raccoon,Strategist,12.3,52.86,Celestial and Above,
Doctor Strange,Vanguard,12.02,46.46,Celestial and Above,
Emma Frost,Vanguard,11.45,47.24,Celestial and Above,
Loki,Strategist,10.75,53.79,Celestial and Above,
Luna Snow,Strategist,10.45,45.99,Celestial and Above,
Phoenix,Duelist,10.35,52.29,Celestial and Above,
Hela,Duelist,9.72,51.83,Celestial and Above,
Spider- Man,Duelist,9.43,52.43,Celestial and Above,
Winter Soldier,Duelist,9.42,41.83,Celestial and Above,
Groot,Vanguard,8.85,53.29,Celestial and Above,
Thor,Vanguard,8.62,53.62,Celestial and Above,
Namor,Duelist,8.18,48.47,Celestial and Above,
Moon Knight,Duelist,7.64,48.65,Celestial and Above,
Jeff the Land Shark,Strategist,7.02,49,Celestial and Above,
Deadpool,Vanguard,6.57,53.08,Celestial and Above,
Hulk,Vanguard,5.57,54.12,Celestial and Above,
The Punisher,Duelist,5.56,44.25,Celestial and Above,
Angela,Vanguard,5.54,53.51,Celestial and Above,
Venom,Vanguard,5.38,52.19,Celestial and Above,
Daredevil,Duelist,5.01,56.79,Celestial and Above,
The Thing,Vanguard,4.92,46.66,Celestial and Above,
Star-Lord,Duelist,4.86,50.93,Celestial and Above,
Hawkeye,Duelist,4.57,50.07,Celestial and Above,
Iron Fist,Duelist,4.51,52.45,Celestial and Above,
Mantis,Strategist,4.48,54.47,Celestial and Above,
Magik,Duelist,4.42,52.47,Celestial and Above,
Gambit,Strategist,4.26,50.9,Celestial and Above,
Psylocke,Duelist,4.08,51.34,Celestial and Above,
Wolverine,Duelist,3.47,52.07,Celestial and Above,
Captain America,Vanguard,2.86,51.98,Celestial and Above,
Rogue,Vanguard,2.58,51.04,Celestial and Above,
Adam Warlock,Strategist,2.05,49.03,Celestial and Above,
Peni Parker,Vanguard,1.98,54.19,Celestial and Above,
Deadpool,Strategist,1.66,43.62,Celestial and Above,
Black Panther,Duelist,1.44,44.82,Celestial and Above,
Deadpool,Duelist,1.25,42.57,Celestial and Above,
Black Widow,Duelist,1.21,39.42,Celestial and Above,
Mister Fantastic,Duelist,1.19,49.53,Celestial and Above,
Human Torch,Duelist,0.8,55.02,Celestial and Above,
Iron Man,Duelist,0.68,51.6,Celestial and Above,
Ultron,Strategist,0.66,44.67,Celestial and Above,
Scarlet Witch,Duelist,0.65,42.04,Celestial and Above,
Squirrel Girl,Duelist,0.61,38.5,Celestial and Above,
Storm,Duelist,0.59,48.77,Celestial and Above,
Blade,Duelist,0.36,41.6,Celestial and Above,
