Hero Name,Role,Rank,Pick Rate,Win Rate,pick_norm,pick_z,win_z,hero_score
Invisible Woman,Strategist,Diamond,0.2034,0.4869,2.2374319633137616,1.5207049888790491,-0.39420330312260166,0.5632508428782237
Doctor Strange,Vanguard,Diamond,0.19699999999999998,0.5018,2.561182941638688,2.652334691321511,-0.4055298877147231,1.123402401803394
Magneto,Vanguard,Diamond,0.1684,0.49450000000000005,2.1893563825987568,2.0206287871683775,-0.6883577138657905,0.6661355366512935
Emma Frost,Vanguard,Diamond,0.1304,0.4677,1.6953210943638828,1.1812992641677107,-1.7266845276806735,-0.2726926317564814
Moon Knight,Duelist,Diamond,0.10300000000000001,0.5115,2.4718587509285186,2.0778009561602135,0.36529360573247166,1.2215472809463426
Rocket Raccoon,Strategist,Diamond,0.0998,0.54,1.0978156830811867,0.1202076571982455,1.1506822000667043,0.6354449286324749
Luna Snow,Strategist,Diamond,0.09820000000000001,0.451,1.0802154316490236,0.09857835477846488,-1.4386739163899467,-0.6700477808057409
Thor,Vanguard,Diamond,0.0951,0.5323,1.2363883134509608,0.40160631253814427,0.7761480160671369,0.5888771643026406
Gambit,Strategist,Diamond,0.0941,0.5171,1.0351147873541051,0.043153267327776614,0.4844321431357225,0.2637927052317496
Winter Soldier,Duelist,Diamond,0.09300000000000001,0.4631,2.2318724644306043,1.7390159095406672,-0.837782811672801,0.4506165489339331
Namor,Duelist,Diamond,0.0891,0.4839,2.1382778126964173,1.6068897413590435,-0.32075823559780753,0.643065752880618
The Punisher,Duelist,Diamond,0.0875,0.4717,2.099880006856751,1.552684133899916,-0.6240130350264094,0.4643355494367533
Groot,Vanguard,Diamond,0.0754,0.5064,0.9802700192870918,-0.033519782280622634,-0.2273096137017235,-0.13041469799117306
Jeff the Land Shark,Strategist,Diamond,0.07519999999999999,0.502,0.8272118173116757,-0.21234286750588371,0.04511442000656044,-0.08361422374966164
Phoenix,Duelist,Diamond,0.0702,0.4844,1.684703731215359,0.966586003248101,-0.30832976021138936,0.3291281215183558
The Thing,Vanguard,Diamond,0.0644,0.49670000000000003,0.8372598042717336,-0.27648359157028923,-0.6031219306421816,-0.4398027611062354
Hela,Duelist,Diamond,0.0632,0.5212,1.5167133306668192,0.7294364706144187,0.6064060282289843,0.6679212494217015
Spider- Man,Duelist,Diamond,0.059800000000000006,0.522,1.4351179932575282,0.614249554763773,0.6262915888472538,0.6202705718055134
Magik,Duelist,Diamond,0.054900000000000004,0.5674,1.31752471287355,0.4482448819201952,1.754797153934019,1.101521017927107
Deadpool,Vanguard,Diamond,0.0512,0.5192,0.6656475462533038,-0.5680401627178892,0.2686076705083703,-0.14971624610475942
Loki,Strategist,Diamond,0.0496,0.5279,0.5456077943970628,-0.5584117062223757,0.7986461437843956,0.12011721878100995
Deadpool,Strategist,Diamond,0.048600000000000004,0.418,0.5346076372519607,-0.5719300202347385,-2.398772251705335,-1.4853511359700367
Rogue,Vanguard,Diamond,0.042800000000000005,0.5351,0.5564397456961212,-0.7535761625390892,0.8846299219880956,0.06552687972450322
Squirrel Girl,Duelist,Diamond,0.0414,0.4464,0.9935432261013656,-0.009114931016192594,-1.252893889579166,-0.6310044102976793
Hulk,Vanguard,Diamond,0.0401,0.5587,0.5213372383741695,-0.8132127339101893,1.798977414750452,0.49288234042013135
Star-Lord,Duelist,Diamond,0.038900000000000004,0.5052,0.9335466544768871,-0.09381119267107903,0.20869481586360406,0.057441811596262514
Peni Parker,Vanguard,Diamond,0.0385,0.5611999999999999,0.5005357525537538,-0.8485529243523227,1.8958362593227336,0.5236416674852055
Angela,Vanguard,Diamond,0.0378,0.5466,0.4914351025073219,-0.8640142576707559,1.3301806070205988,0.23308317467492146
Venom,Vanguard,Diamond,0.037200000000000004,0.488,0.48363454532466604,-0.8772668290865558,-0.9401907097537304,-0.9087287694201431
Psylocke,Duelist,Diamond,0.0353,0.5052,0.8471515913376378,-0.21577380945411592,0.20869481586360406,-0.0035394967952559336
Scarlet Witch,Duelist,Diamond,0.0311,0.4799,0.7463573510085137,-0.35806352903432537,-0.42018603868915255,-0.389124783861739
Hawkeye,Duelist,Diamond,0.028300000000000002,0.5307999999999999,0.6791611907890979,-0.4529233420877982,0.8450327556482107,0.19605470678020623
Iron Fist,Duelist,Diamond,0.0282,0.5227,0.6767613279241186,-0.4563111925539938,0.64369145438824,0.09369013091712311
Wolverine,Duelist,Diamond,0.027000000000000003,0.4858,0.6479629735443689,-0.49696539814833923,-0.2735300291294183,-0.3852477136388788
Iron Man,Duelist,Diamond,0.0259,0.504,0.6215644820295982,-0.5342317532764894,0.1788664749362011,-0.17768263917014415
Black Panther,Duelist,Diamond,0.025,0.5278,0.599965716244786,-0.5647224074722486,0.7704619033297047,0.10286974792872805
Daredevil,Duelist,Diamond,0.023799999999999998,0.5539999999999999,0.5711673618650362,-0.6053766130665943,1.4217140135780115,0.4081687002557086
Mister Fantastic,Duelist,Diamond,0.0219,0.5119,0.5255699674304325,-0.6697457719243081,0.37523638604160786,-0.1472546929413501
Captain America,Vanguard,Diamond,0.0218,0.5301,0.2834202443031645,-1.2174161620920894,0.6909122328435281,-0.26325196462428063
Mantis,Strategist,Diamond,0.0206,0.5307,0.2266032371891027,-0.9504428125809018,0.8801090328414563,-0.03516688986972277
Ultron,Strategist,Diamond,0.0151,0.5268999999999999,0.1661023728910413,-1.024793539648898,0.7695522548354412,-0.12762064240672844
Storm,Duelist,Diamond,0.0149,0.5562,0.35757956688189246,-0.9068953045579905,1.4763993052782534,0.28475200036013143
