Hero Name,Role,Rank,Pick Rate,Win Rate,hero_score,tier
Doctor Strange,Vanguard,Platinum,0.1776,0.5052,0.9750165115571129,A
Magneto,Vanguard,Platinum,0.1489,0.4886,0.33648781454924753,A
Emma Frost,Vanguard,Platinum,0.13470000000000001,0.47659999999999997,-0.0527955075112001,B
Moon Knight,Duelist,Platinum,0.106,0.5123,1.2823078182484091,S
Gambit,Strategist,Platinum,0.1011,0.5125,0.24419085969243162,B
Thor,Vanguard,Platinum,0.09820000000000001,0.5337,0.650233450273696,A
Rocket Raccoon,Strategist,Platinum,0.09369999999999999,0.5394,0.5854859042100817,A
Luna Snow,Strategist,Platinum,0.092,0.4517,-0.7017716931119337,C
Jeff the Land Shark,Strategist,Platinum,0.0913,0.4861,-0.20608821309430145,B
The Punisher,Duelist,Platinum,0.0873,0.4744,0.49450458251388674,A
Namor,Duelist,Platinum,0.08439999999999999,0.49420000000000003,0.6914645634051315,A
Winter Soldier,Duelist,Platinum,0.0808,0.47090000000000004,0.3408997785100712,A
Groot,Vanguard,Platinum,0.075,0.5042,-0.17745011340824415,B
Phoenix,Duelist,Platinum,0.0698,0.475,0.20552475195363434,B
The Thing,Vanguard,Platinum,0.0632,0.5063,-0.2670863509432517,B
Deadpool,Vanguard,Platinum,0.0613,0.5033,-0.3461848957616388,C
Squirrel Girl,Duelist,Platinum,0.0611,0.4571,-0.16431645274275236,B
Hela,Duelist,Platinum,0.060700000000000004,0.5223,0.6392444415193179,A
Deadpool,Strategist,Platinum,0.0604,0.44179999999999997,-1.059375804804577,D
Rogue,Vanguard,Platinum,0.054400000000000004,0.5329999999999999,0.1529543553568754,B
Spider- Man,Duelist,Platinum,0.0536,0.5213,0.5065472745829609,A
Peni Parker,Vanguard,Platinum,0.0535,0.5478000000000001,0.42971710672898794,A
Magik,Duelist,Platinum,0.0525,0.5748,1.152837530192255,S
Scarlet Witch,Duelist,Platinum,0.0473,0.48960000000000004,0.005847315148349935,B
Venom,Vanguard,Platinum,0.0417,0.47479999999999994,-1.114738976281723,D
Loki,Strategist,Platinum,0.0405,0.5139,-0.14504833261789954,B
Angela,Vanguard,Platinum,0.0385,0.5379999999999999,0.07421662866980916,B
Psylocke,Duelist,Platinum,0.0364,0.498,-0.07439134201339109,B
Star-Lord,Duelist,Platinum,0.0362,0.4951,-0.11382177110019925,B
Iron Man,Duelist,Platinum,0.0326,0.5025,-0.08283236163222407,B
Hulk,Vanguard,Platinum,0.030299999999999997,0.5496,0.20836991006954164,B
Hawkeye,Duelist,Platinum,0.0262,0.5423,0.303409743828963,A
